MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,List Price,Sold Price,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price
2174114,CLOSED,414 Hopwood Way,Apex,27502,8/29/2018,Middleton,"2,439",2018,4,3,0,Attached,"$371,151.00","$371,151.00",0,,2,0-.25 Acres,1.00
2182372,CLOSED,426 Hopwood Way,Apex,27502,9/28/2018,Middleton,"2,426",2018,4,3,0,Attached,"$371,325.00","$371,325.00",0,,2,0-.25 Acres,1.00
2158655,CLOSED,519 Rowanwood Way,Apex,27523,2/26/2018,Middleton,"2,439",2017,4,3,0,Attached,"$386,616.00","$372,255.00",0,Yes,2,0-.25 Acres,0.96
2204207,CLOSED,1309 Littlehills Drive,Apex,27523,12/31/2018,Middleton,"2,428",2018,4,3,0,Attached,"$379,990.00","$372,700.00",0,,2,0-.25 Acres,0.98
2156990,CLOSED,532 Rowanwood Way,Apex,27523,3/29/2018,Middleton,"2,419",2017,4,3,0,Attached,"$378,000.00","$373,000.00",0,,2,0-.25 Acres,0.99
2283818,CLOSED,943 Haybeck Lane,Apex,27523,10/9/2020,Townes at Westford,"2,465",2020,4,3,1,Attached,"$374,289.00","$373,000.00",0,Yes,2,0-.25 Acres,1.00
2320834,CLOSED,1639 Wimberly Road,Apex,27523,9/28/2020,Townes at Westford,"2,465",2020,4,3,1,Attached,"$373,312.00","$373,312.00",0,Yes,2,0-.25 Acres,1.00
2189326,CLOSED,945 Carolina Bell Road,Apex,27502-4319,7/25/2018,The Orchard Villas,"1,806",2013,2,2,0,Attached,"$375,000.00","$373,500.00",62,Yes,2,0-.25 Acres,1.00
2272443,CLOSED,954 Haybeck Lane,Apex,27523,7/10/2020,Townes at Westford,"2,807",2020,3,2,1,Attached,"$376,878.00","$373,837.00",0,Yes,2,0-.25 Acres,0.99
2286024,CLOSED,937 Haybeck Lane,Apex,27523,3/20/2020,Townes at Westford,"2,643",2020,4,3,1,Attached,"$373,864.00","$373,864.00",0,Yes,2,0-.25 Acres,1.00
