,MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,ListPrice,SoldPrice,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price,Sub#
1478,2170998,CLOSED,2514 Sunnybranch Lane,Apex,27523,1/9/2019,The Preserve at White Oak Creek,3138,2018,4,3,1,Attached,405848.0,390000.0,0,Yes,2,0-.25 Acres,0.96,44
1184,2159011,CLOSED,1906 Blue Jay Point,Apex,27502,3/27/2018,Bella Casa,2518,2017,3,3,1,Attached,347900.0,327400.0,0,Yes,2,0-.25 Acres,0.94,2
568,2280518,CLOSED,5036 Homeplace Drive,Apex,27539,6/19/2020,West Lake,2467,2007,3,2,1,Attached,289900.0,285000.0,140,Yes,2,0-.25 Acres,0.98,53
466,2265072,CLOSED,807 Ambergate Station,Apex,27502-2470,8/29/2019,The Villages of Apex,1885,2015,3,2,1,Attached,275000.0,275000.0,17,Yes,1,0-.25 Acres,1.0,45
1036,2325117,CLOSED,2851 Dallas Valley Lane,Apex,27502,7/14/2020,Townes at Friendship Station,2261,2020,3,3,1,Attached,318000.0,316500.0,0,Yes,2,0-.25 Acres,1.0,47
1121,2119714,CLOSED,1006 Drayman Place,Apex,27502,4/30/2018,Hempstead at Beaver Creek,2428,2017,3,3,1,Attached,315775.0,322190.0,0,,2,0-.25 Acres,1.02,20
988,2270040,CLOSED,601 Grand Central Station,Apex,27502,2/7/2020,The Villages of Apex,2225,2019,4,3,1,Attached,312900.0,312900.0,0,Yes,2,0-.25 Acres,1.0,45
230,2164663,CLOSED,1426 Salem Creek Drive,Apex,27502,10/29/2018,Salem Creek Townhomes,1601,2018,2,2,2,Attached,236930.0,236930.0,0,Yes,1,0-.25 Acres,1.0,32
497,2248299,CLOSED,2693 Impulsion Drive,Apex,27562,6/14/2019,Woodbury,1818,2019,3,2,1,Attached,283900.0,278000.0,0,Yes,2,0-.25 Acres,0.98,55
318,2316017,CLOSED,2008 Silky Dogwood Trail,Apex,27502,6/23/2020,Dogwood Ridge,1570,2000,3,2,1,Attached,259900.0,254000.0,18,Yes,1,0-.25 Acres,0.98,12
445,2130944,CLOSED,1460 Salem Creek Drive,Apex,27502,5/7/2018,Salem Creek Townhomes,2096,2017,4,3,1,Attached,290580.0,273450.0,0,Yes,1,0-.25 Acres,0.94,32
1005,2214243,CLOSED,2842 Lanasa Lane,Apex,27523,12/21/2018,Sweetwater,1780,2018,3,2,1,Attached,314610.0,314610.0,0,Yes,1,0-.25 Acres,1.0,41
267,2172345,CLOSED,137 Writing Rock Place,Apex,27539,6/28/2018,Woodcreek,1620,2018,3,2,1,Attached,263051.0,245189.0,0,Yes,1,0-.25 Acres,0.93,56
702,2296532,CLOSED,3408 Dropseed Drive,Apex,27502,6/18/2020,Deer Creek,2165,2020,3,2,1,Attached,294990.0,294990.0,0,Yes,2,0-.25 Acres,1.0,10
964,2157822,CLOSED,2233 Chattering Lory Lane,Apex,27502,7/13/2018,Peak 502 at Beaver Creek,2173,2018,4,3,1,Attached,324990.0,310000.0,0,Yes,2,0-.25 Acres,0.95,29
1210,2241864,CLOSED,539 Wayland Grove Drive,Apex,27523,9/30/2019,Wayland Grove,2323,2018,3,2,1,Attached,329990.0,329000.0,0,Yes,2,0-.25 Acres,1.0,51
583,2296626,CLOSED,1117 Platform Drive,Apex,27502,7/17/2020,The Villages of Apex,1985,2020,3,2,1,Attached,285990.0,286180.0,0,Yes,2,0-.25 Acres,1.0,45
1263,2237741,CLOSED,2231 Red Knot Lane,Apex,27502,9/24/2019,Peak 502 at Beaver Creek,2173,2019,4,3,1,Attached,333570.0,333570.0,0,,2,0-.25 Acres,1.0,29
253,2310468,CLOSED,110 Gallent Hedge Trail,Apex,27539,6/9/2020,Miramonte,1975,2006,4,3,1,Attached,245000.0,245000.0,13,Yes,1,0-.25 Acres,1.0,24
1382,2198539,CLOSED,2547 Sunnybranch Lane,Apex,27523,11/7/2018,The Preserve at White Oak Creek,2238,2018,3,2,1,Attached,352671.0,352214.0,0,Yes,2,0-.25 Acres,1.0,44
801,2189823,CLOSED,2838 Lanasa Lane,Apex,27523,3/8/2019,Sweetwater,1697,2019,3,2,1,Attached,300000.0,300000.0,0,Yes,1,0-.25 Acres,1.0,41
1052,2340733,CLOSED,681 Grand Central Station,Apex,27502,10/22/2020,The Villages of Apex,2193,2020,3,3,1,Attached,317400.0,317400.0,0,Yes,2,0-.25 Acres,1.0,45
1196,2231497,CLOSED,2579 Rambling Creek Road,Apex,27523,2/28/2019,The Preserve at White Oak Creek,2157,2018,3,2,1,Attached,358000.0,328000.0,0,Yes,2,0-.25 Acres,0.92,44
1113,2210570,CLOSED,2902 Great Lawn Road,Apex,27502,10/31/2018,Smith Farm,2308,2018,4,3,1,Attached,321245.0,321245.0,0,Yes,2,0-.25 Acres,1.0,39
307,2342825,CLOSED,122 Tobacco Leaf Lane,Apex,27502,10/14/2020,Seagroves Farm,1424,2007,2,2,1,Attached,254000.0,252750.0,9,,1,0-.25 Acres,1.0,38
1400,2338747,CLOSED,563 Chessie Station,Apex,27502,10/2/2020,The Villages of Apex,2437,2017,3,2,1,Attached,359000.0,359000.0,3,Yes,2,0-.25 Acres,1.0,45
1530,2241234,CLOSED,2578 Rambling Creek Road,Apex,27523,6/26/2019,The Preserve at White Oak Creek,3155,2019,4,4,1,Attached,433705.0,431000.0,0,Yes,2,0-.25 Acres,0.99,44
907,2263880,CLOSED,965 Ambergate Station,Apex,27502,8/22/2019,The Villages of Apex,2101,2014,3,3,1,Attached,314900.0,307000.0,20,Yes,0,0-.25 Acres,0.97,45
352,2163685,CLOSED,1429 Salem Creek Drive,Apex,27502,6/30/2018,Salem Creek Townhomes,1807,2018,2,2,2,Attached,259235.0,260250.0,0,Yes,1,0-.25 Acres,1.0,32
537,2227765,CLOSED,2907 Great Lawn Road,Apex,27502,1/31/2019,Smith Farm,2145,2019,4,3,1,Attached,282000.0,281500.0,0,Yes,2,0-.25 Acres,1.0,39
170,2160757,CLOSED,109 Gallent Hedge Trail,Apex,27539,1/31/2018,Miramonte,2011,2006,4,3,1,Attached,225000.0,223000.0,26,,1,0-.25 Acres,0.99,24
590,2291031,CLOSED,1004 Diamond Dove Lane,Apex,27502,2/21/2020,Peak 502 at Beaver Creek,2407,2017,4,3,1,Attached,297000.0,287000.0,34,Yes,2,0-.25 Acres,0.97,29
1378,2227727,CLOSED,3402 Antler View Drive,Apex,27502,3/18/2019,Deer Creek,2784,2019,5,3,0,Attached,349990.0,352000.0,0,Yes,2,0-.25 Acres,1.01,10
642,2232565,CLOSED,445 Heritage Village Lane,Apex,27502,5/30/2019,Green at Scotts Mill,1909,2008,3,2,1,Attached,317999.0,290000.0,98,Yes,2,0-.25 Acres,0.91,16
1369,2321711,CLOSED,866 Tunisian Drive,Apex,27523-7537,9/29/2020,540 Townes,2314,2017,4,3,1,Attached,354900.0,350000.0,35,Yes,2,0-.25 Acres,0.99,0
1182,2310074,CLOSED,1009 Lathrop Lane,Apex,27523,7/24/2020,Townes at North Salem,2479,2020,4,3,1,Attached,339990.0,327000.0,0,Yes,2,0-.25 Acres,0.96,48
105,2325740,CLOSED,135 Anterbury Drive,Apex,27502-4709,8/5/2020,Bradley Terrace,1450,2005,3,2,1,Attached,220000.0,213000.0,14,Yes,0,0-.25 Acres,0.97,4
963,2175944,CLOSED,2450 Pecan Ridge Way,Apex,27502-8543,4/23/2018,Bristol Walk,2164,2014,3,2,1,Attached,309900.0,310000.0,11,Yes,2,0-.25 Acres,1.0,5
1288,2301885,CLOSED,655 Metro Station,Apex,27502,6/30/2020,The Villages of Apex,2388,2020,3,2,1,Attached,336900.0,336900.0,0,Yes,2,0-.25 Acres,1.0,45
