MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,ListPrice,SoldPrice,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price,Sub#
2295866,CLOSED,1106 Patterson Grove Road,Apex,27502,3/12/2020,Pearson Farms,2293,1998,4,2,1,Detached,369900.0,360000.0,12,Yes,2,.26-.5 Acres,0.97,167
2330467,CLOSED,6009 Splitrock Trail,Apex,27539,10/30/2020,Lynnhaven,2387,1977,3,2,1,Detached,390000.0,375000.0,53,No,2,1-2.9 Acres,0.96,139
2221869,CLOSED,2211 Madison Creek Drive,Apex,27502,12/6/2018,Madison,3437,2016,5,4,0,Detached,524800.0,519000.0,5,Yes,2,0-.25 Acres,0.99,140
2185728,CLOSED,2109 Bee Cave Court,Apex,27539,11/21/2018,Fairview Park,3100,2018,4,3,0,Detached,565210.0,591880.0,0,Yes,2,.26-.5 Acres,1.05,74
2177455,CLOSED,3501 Lily Orchard Way,Apex,27539,4/30/2018,Lily Orchard,3485,2017,4,3,1,Detached,449900.0,449650.0,6,Yes,2,.26-.5 Acres,1.0,136
2303495,CLOSED,1903 Rothesay Drive,Apex,27502,7/14/2020,Buckhorn Preserve,1861,2020,3,2,0,Detached,363990.0,361990.0,0,Yes,2,0-.25 Acres,0.99,27
2285562,CLOSED,201 West Street,Apex,27502,11/22/2019,Not in a Subdivision,1461,1947,2,1,0,Detached,124900.0,115000.0,14,,0,0-.25 Acres,0.92,153
2253784,CLOSED,606 Samara Street,Apex,27502,6/12/2019,Surrey Meadows,2005,1994,3,2,1,Detached,337000.0,342000.0,0,Yes,2,0-.25 Acres,1.01,223
2266087,CLOSED,109 Kentbury Lane,Apex,27502,8/13/2019,Abbington,3303,2003,4,3,1,Detached,535000.0,537500.0,4,Yes,2,.26-.5 Acres,1.0,1
2164587,CLOSED,514 Parlier Drive,Apex,27523,4/25/2018,Greenmoor,2928,2017,3,2,1,Detached,466900.0,463900.0,0,Yes,2,0-.25 Acres,0.99,86
2173704,CLOSED,2507 Dawn Ridge Court,Apex,27523,3/29/2018,Walden Creek,2893,1998,4,2,1,Detached,398500.0,395000.0,14,Yes,2,.26-.5 Acres,0.99,244
2203888,CLOSED,2555 Kylewynd Place,Apex,27562,5/16/2019,Woodbury,1833,2018,2,2,0,Detached,374900.0,360000.0,0,Yes,2,0-.25 Acres,0.96,269
2278100,CLOSED,3801 Victorian Grace Lane,Apex,27539,10/11/2019,Victorian Grace,3024,1994,3,2,1,Detached,364900.0,364900.0,1,Yes,2,.76-.99 Acres,1.0,240
2317888,CLOSED,1003 Golden Ridge Court,Apex,27502,6/30/2020,Ashley Downs,2344,2000,5,2,1,Detached,360000.0,355000.0,18,Yes,2,.26-.5 Acres,0.99,6
2245365,CLOSED,1546 Armscroft Lane,Apex,27502,5/30/2019,Saddlebrook,3176,2019,5,3,0,Detached,499900.0,497000.0,0,Yes,2,0-.25 Acres,0.99,185
