,MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,List Price,Sold Price,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price,State,Full_Address,Lat,Lng
2238,2313685,CLOSED,7824 Humie Olive Road,Apex,27502,10/30/2020,Whistling Quail,"3,212",1987,4,4,0,Detached,"$439,000.00","$410,000.00",106,Yes,2,1-2.9 Acres,0.93,NC,"7824 Humie Olive Road,Apex,NC,27502",35.7038206,-78.9101045
2239,2188595,CLOSED,5121 Roswellcrest Court,Apex,27539,6/19/2018,The Park At West Lake,"2,675",2010,3,3,1,Detached,"$425,000.00","$410,000.00",8,Yes,2,.26-.5 Acres,0.96,NC,"5121 Roswellcrest Court,Apex,NC,27539",35.6571985,-78.7628962
2240,2261577,CLOSED,203 Maple Creek Court,Apex,27502,7/30/2019,Scotts Mill,"2,369",1998,3,2,1,Detached,"$405,000.00","$410,000.00",0,Yes,2,0-.25 Acres,1.01,NC,"203 Maple Creek Court,Apex,NC,27502",35.7276586,-78.880968
2241,2186444,CLOSED,1451 Big Leaf Loop,Apex,27502,5/16/2018,Dogwood Ridge,"3,454",2000,3,3,1,Detached,"$419,900.00","$410,000.00",2,Yes,2,0-.25 Acres,0.98,NC,"1451 Big Leaf Loop,Apex,NC,27502",35.7303387,-78.8767228
2242,2187278,CLOSED,1792 Pierre Place,Apex,27502,6/15/2018,Olive Chapel Park,"2,847",2013,5,3,0,Detached,"$415,000.00","$410,000.00",5,Yes,2,0-.25 Acres,0.99,NC,"1792 Pierre Place,Apex,NC,27502",35.7374822,-78.8729946
2243,2286334,CLOSED,1028 Manderston Lane,Apex,27502,12/19/2019,Cameron Park,"2,719",2002,4,2,1,Detached,"$419,900.00","$410,000.00",14,Yes,2,0-.25 Acres,0.98,NC,"1028 Manderston Lane,Apex,NC,27502",35.732344,-78.87473279999999
2244,2139748,CLOSED,100 Langshire Court,Apex,27502,3/6/2018,Abbington,"2,755",1998,4,2,1,Detached,"$425,000.00","$410,000.00",71,Yes,2,.26-.5 Acres,0.96,NC,"100 Langshire Court,Apex,NC,27502",35.7439891,-78.9034291
2245,2231266,CLOSED,3816 Perney Court,Apex,27539,3/29/2019,Hallmark West,"2,686",1994,4,2,1,Detached,"$410,000.00","$410,000.00",1,No,2,.76-.99 Acres,1.0,NC,"3816 Perney Court,Apex,NC,27539",35.686514,-78.7992155
2246,2300402,CLOSED,420 Magdala Place,Apex,27502,3/5/2020,Scotts Mill,"2,497",2001,3,2,1,Detached,"$400,000.00","$410,000.00",4,Yes,2,0-.25 Acres,1.03,NC,"420 Magdala Place,Apex,NC,27502",35.7245292,-78.8779148
2247,2229585,CLOSED,1305 Apache Lane,Apex,27502,2/19/2019,Shepherds Vineyard,"2,641",1989,4,2,1,Detached,"$415,000.00","$410,000.00",14,Yes,2,.26-.5 Acres,0.99,NC,"1305 Apache Lane,Apex,NC,27502",35.7399821,-78.8329334
2248,2328990,CLOSED,1915 Lazio Lane,Apex,27502,8/4/2020,Bella Casa,"2,624",2010,4,2,1,Detached,"$409,900.00","$410,000.00",3,Yes,2,0-.25 Acres,1.0,NC,"1915 Lazio Lane,Apex,NC,27502",35.7128159,-78.90672119999999
2249,2295215,CLOSED,711 Blossom Bay Lane,Apex,27523-6800,2/14/2020,Ellington Place,"2,862",2012,5,3,0,Detached,"$412,000.00","$410,000.00",8,Yes,2,0-.25 Acres,1.0,NC,"711 Blossom Bay Lane,Apex,NC,27523-6800",35.7581839,-78.8296373
2250,2318496,CLOSED,410 Magdala Place,Apex,27502,7/14/2020,Green at Scotts Mill,"2,716",2001,4,2,1,Detached,"$410,000.00","$410,000.00",2,Yes,2,0-.25 Acres,1.0,NC,"410 Magdala Place,Apex,NC,27502",35.724557,-78.8780687
2251,2250580,CLOSED,2003 Templeton Gap Drive,Apex,27502,6/20/2019,Charleston Village,"2,374",2001,5,2,1,Detached,"$400,000.00","$410,000.00",3,,2,0-.25 Acres,1.03,NC,"2003 Templeton Gap Drive,Apex,NC,27502",35.7614907,-78.8670377
