MLS #,Status,Address,City,Zip,Closing Date,Subdivision,LvngAreaSF,YrBlt,Beds,FBths,HBths,Property Type,List Price,Sold Price,Days On Market,HOA Y/N,Garage,Acres,Sold Price/List Price
2295906,CLOSED,207 October Glory Drive,Apex,27539-9004,2/25/2020,Miramonte,"2,592",2005,4,2,1,Detached,"$359,000.00","$360,000.00",14,Yes,2,0-.25 Acres,1.00
2196246,CLOSED,2708 Dilly Dally Court,Apex,27539,11/19/2018,Reunion Pointe,"2,682",2018,4,3,0,Detached,"$374,990.00","$360,000.00",0,Yes,2,0-.25 Acres,0.96
2277058,CLOSED,1018 Chimney Hill Drive,Apex,27502,10/18/2019,Shepherds Vineyard,"1,938",1986,4,2,1,Detached,"$370,000.00","$360,000.00",11,Yes,1,.26-.5 Acres,0.97
2232132,CLOSED,216 Newbury Park Way,Apex,27539,3/4/2019,Newbury Park,"3,034",2005,4,3,1,Detached,"$368,500.00","$360,000.00",12,Yes,2,0-.25 Acres,0.98
2335717,CLOSED,405 Piney Woods Lane,Apex,27502,10/19/2020,Hollands Crossing,"2,292",1999,4,2,1,Detached,"$344,900.00","$360,000.00",3,Yes,2,0-.25 Acres,1.04
2197035,CLOSED,1004 Heathwood Dairy Road,Apex,27502,8/24/2018,Pearson Farms,"2,576",1999,3,2,1,Detached,"$365,000.00","$360,000.00",20,Yes,2,0-.25 Acres,0.99
2341812,CLOSED,112 Kelly Court,Apex,27539,10/13/2020,Crowsdale,"2,737",1979,3,3,0,Detached,"$335,000.00","$360,000.00",4,,0,1-2.9 Acres,1.07
2209831,CLOSED,1221 Anora Drive,Apex,27502-5238,10/15/2018,Haddon Hall,"2,215",1997,4,2,1,Detached,"$364,900.00","$360,000.00",5,Yes,2,.26-.5 Acres,0.99
2254881,CLOSED,974 Shoofly Path,Apex,27502,8/29/2019,The Villages of Apex,"2,322",2012,3,2,2,Detached,"$365,000.00","$360,000.00",0,Yes,2,0-.25 Acres,0.99
2331267,CLOSED,2015 Battlewood Road,Apex,27523-5151,8/25/2020,Charleston Village,"1,832",1997,3,2,1,Detached,"$345,000.00","$360,000.00",1,Yes,1,0-.25 Acres,1.04
2336077,CLOSED,1902 Patterson Grove Road,Apex,27502,10/9/2020,Pearson Farms,"2,083",1997,3,2,1,Detached,"$350,000.00","$360,000.00",3,Yes,2,0-.25 Acres,1.03
2165557,CLOSED,1205 Applethorn Drive,Apex,27502,4/10/2018,Whitehall Manor,"2,162",2011,3,2,1,Detached,"$360,000.00","$360,000.00",10,Yes,2,0-.25 Acres,1.00
2256788,CLOSED,7121 Hinman Lane,Apex,27539,12/6/2019,The Park At West Lake,"2,959",2014,5,4,0,Detached,"$366,900.00","$360,000.00",173,Yes,2,0-.25 Acres,0.98
2231555,CLOSED,2104 Charlion Downs Lane,Apex,27502,4/2/2019,Haddon Place,"2,173",1999,5,2,1,Detached,"$350,000.00","$360,000.00",2,,2,0-.25 Acres,1.03
2304223,CLOSED,2008 Jerimouth Drive,Apex,27502,3/27/2020,Crocketts Ridge,"2,232",2000,4,2,1,Detached,"$350,000.00","$360,000.00",2,,2,0-.25 Acres,1.03
2278035,CLOSED,4724 Porchaven Lane,Apex,27539,10/18/2019,Sawyers Mill,"2,949",2004,4,2,1,Detached,"$355,000.00","$360,000.00",2,Yes,2,.26-.5 Acres,1.01
2275085,CLOSED,1003 Mellonsbury Drive,Apex,27502,11/26/2019,Buckingham,"2,203",1998,3,2,1,Detached,"$375,000.00","$360,000.00",45,No,2,.26-.5 Acres,0.96
2184798,CLOSED,4025 Reunion Creek Parkway,Apex,27539,11/20/2018,Reunion Pointe,"2,682",2018,5,3,0,Detached,"$360,000.00","$360,022.00",0,Yes,2,0-.25 Acres,1.00
2245105,CLOSED,1169 Russet Lane,Apex,27523,3/29/2019,Sweetwater,"2,076",2019,3,2,1,Detached,"$360,870.00","$360,870.00",0,Yes,2,0-.25 Acres,1.00
2325669,CLOSED,7905 Senter Farm Road,Apex,27539,7/30/2020,Whippoorwill Downs,"1,980",1986,3,2,1,Detached,"$339,500.00","$361,000.00",1,,2,.76-.99 Acres,1.06
2178486,CLOSED,4056 Truelove Drive,Apex,27539,4/30/2018,The Park at Langston,"2,800",2013,5,3,0,Detached,"$350,000.00","$361,000.00",6,Yes,2,0-.25 Acres,1.03
2208180,CLOSED,1108 Rosabella Lane,Apex,27502,10/3/2018,Dogwood Ridge,"2,631",1997,4,2,1,Detached,"$369,900.00","$361,000.00",22,Yes,2,.26-.5 Acres,0.98
2339929,CLOSED,901 Scotts Ridge Trail,Apex,27502,9/28/2020,Scotts Mill,"2,067",2000,4,2,1,Detached,"$349,900.00","$361,018.00",2,,1,0-.25 Acres,1.03
2176296,CLOSED,4021 Reunion Creek Parkway,Apex,27539,10/22/2018,Reunion Pointe,"2,462",2018,4,2,1,Detached,"$356,990.00","$361,057.00",0,Yes,2,0-.25 Acres,1.01
2332433,CLOSED,1368 Herb Garden Way,Apex,27502,7/21/2020,Smith Farm,"2,101",2020,4,2,0,Detached,"$361,070.00","$361,070.00",0,Yes,2,0-.25 Acres,1.00
2285539,CLOSED,4213 Ellinwood Drive,Apex,27539,1/15/2020,Hallmark,"2,662",1992,3,2,1,Detached,"$359,900.00","$361,500.00",50,,2,.51-.75 Acres,1.00
2164962,CLOSED,2905 Macbeth Lane,Apex,27502,5/23/2018,McKenzie Ridge,"2,103",2018,3,2,1,Detached,"$359,126.00","$361,841.00",0,Yes,2,0-.25 Acres,1.01
2318447,CLOSED,1116 Long Gate Way,Apex,27502,6/18/2020,Green at Scotts Mill,"2,153",2006,4,2,1,Detached,"$358,900.00","$361,900.00",2,Yes,2,0-.25 Acres,1.01
2303495,CLOSED,1903 Rothesay Drive,Apex,27502,7/14/2020,Buckhorn Preserve,"1,861",2020,3,2,0,Detached,"$363,990.00","$361,990.00",0,Yes,2,0-.25 Acres,0.99
2332264,CLOSED,1075 Vauxhall Drive,Apex,27502,9/2/2020,Amherst,"2,244",2001,4,2,1,Detached,"$359,478.00","$362,000.00",3,Yes,2,0-.25 Acres,1.01
2196254,CLOSED,2712 Dilly Dally Court,Apex,27539,11/30/2018,Reunion Pointe,"2,682",2018,5,3,0,Detached,"$369,990.00","$362,000.00",0,,2,0-.25 Acres,0.98
2290127,CLOSED,5312 Maplechase Lane,Apex,27539,3/23/2020,The Park At West Lake,"2,584",2010,4,3,0,Detached,"$364,900.00","$362,000.00",42,Yes,2,0-.25 Acres,0.99
2255608,CLOSED,100 Menteith Court,Apex,27502,6/20/2019,Cameron Park,"2,376",2001,4,2,1,Detached,"$359,000.00","$362,000.00",3,Yes,2,.26-.5 Acres,1.01
2214833,CLOSED,4745 Porchaven Lane,Apex,27539,3/1/2019,Sawyers Mill,"2,955",2005,5,2,1,Detached,"$369,000.00","$362,500.00",92,Yes,2,.26-.5 Acres,0.98
2319510,CLOSED,8829 Forester Lane,Apex,27539,6/17/2020,The Park at Langston,"2,497",2014,4,2,1,Detached,"$359,900.00","$362,500.00",2,Yes,2,0-.25 Acres,1.01
2163789,CLOSED,514 Vatersay Drive,Apex,27502-9073,1/31/2018,Cameron Park,"2,723",2002,4,2,1,Detached,"$365,000.00","$362,500.00",13,Yes,2,0-.25 Acres,0.99
2236934,CLOSED,1106 Heathwood Dairy Road,Apex,27502,3/14/2019,Pearson Farms,"2,445",1998,3,2,1,Detached,"$354,900.00","$363,000.00",3,,2,0-.25 Acres,1.02
2193420,CLOSED,7249 Bedford Ridge Drive,Apex,27539,7/10/2018,The Park At West Lake,"2,254",2006,3,2,1,Detached,"$359,000.00","$363,000.00",8,Yes,2,0-.25 Acres,1.01
2282447,CLOSED,3268 Wishing Well Wynd,Apex,27502,4/13/2020,Smith Farm,"2,101",2019,4,3,0,Detached,"$366,940.00","$363,000.00",0,Yes,2,0-.25 Acres,0.99
2254164,CLOSED,3120 Mavisbank Circle,Apex,27502,10/7/2019,Buckhorn Preserve,"1,861",2019,3,2,0,Detached,"$369,990.00","$363,000.00",0,Yes,2,0-.25 Acres,0.98
2259209,CLOSED,941 Branch Line Lane,Apex,27502,8/9/2019,The Villages of Apex,"2,118",2013,4,2,1,Detached,"$372,000.00","$363,000.00",25,Yes,2,0-.25 Acres,0.98
2274860,CLOSED,512 Scotts Ridge Trail,Apex,27502,11/12/2019,Scotts Mill,"2,294",1999,3,2,1,Detached,"$372,500.00","$363,000.00",46,Yes,2,0-.25 Acres,0.97
2276596,CLOSED,2221 Gregor Overlook Lane,Apex,27502,9/30/2019,McKenzie Ridge,"2,588",2019,4,3,0,Detached,"$363,023.00","$363,023.00",0,Yes,2,0-.25 Acres,1.00
